Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:David Pocock,C:Animal Justice Party,D:Australian Labor Party,E:Liberal,F:HEART/LIBERTARIAN,G:Australian Greens,A:HOLGATE James,A:HAYDON John,B:POCOCK David,B:VARDY Hannah,C:SOXSMITH Robyn,C:KUDRYCZ Walter,D:GALLAGHER Katy,D:OH Janaline,E:VADAKKEDATHU Jacob,E:LEE Hayune,F:SEARSON-PRAKAASH Elise,F:BROWN Martin,G:HOBBS Christina,G:ROCKE Jo
1,1,1,3,2,5,,6,4,,,,,,,,,,,,,,
1,2,6,1,4,3,,5,2,,,,,,,,,,,,,,
1,3,4,1,6,2,,5,3,,,,,,,,,,,,,,
1,4,7,1,5,2,3,6,4,,,,,,,,,,,,,,
1,5,6,1,,2,4,5,3,,,,,,,,,,,,,,
1,6,5,1,,2,4,6,3,,,,,,,,,,,,,,
1,7,5,1,4,3,,6,2,,,,,,,,,,,,,,
1,8,6,1,5,2,4,7,3,,,,,,,,,,,,,,
1,9,4,1,5,3,6,,2,,,,,,,,,,,,,,
1,10,6,1,,3,2,4,5,,,,,,,,,,,,,,
1,11,5,1,6,2,7,4,3,,,,,,,,,,,,,,
1,12,5,1,3,4,7,6,2,,,,,,,,,,,,,,
1,13,3,4,1,5,7,6,2,,,,,,,,,,,,,,
1,14,2,3,1,5,6,,4,,,,,,,,,,,,,,
1,15,5,2,4,1,6,7,3,,,,,,,,,,,,,,
1,16,2,5,4,1,7,6,3,,,,,,,,,,,,,,
1,17,4,3,,1,5,6,2,,,,,,,,,,,,,,
1,18,5,2,3,1,,6,4,,,,,,,,,,,,,,
1,19,4,7,3,1,6,5,2,,,,,,,,,,,,,,
1,20,,3,2,4,1,5,6,,,,,,,,,,,,,,
1,21,3,2,4,6,1,5,,,,,,,,,,,,,,,
1,22,5,3,4,2,6,,1,,,,,,,,,,,,,,
1,23,7,3,5,2,4,6,1,,,,,,,,,,,,,,
1,24,2,,4,3,6,5,1,,,,,,,,,,,,,,
1,25,4,3,6,2,5,7,1,,,,,,,,,,,,,,
1,26,5,3,4,2,6,5,1,,,,,,,,,,,,,,
1,27,,,,,,,,,,3,4,11,12,7,8,1,2,5,6,9,10
1,28,,,,,,,,2,1,4,3,8,7,12,11,,,10,9,6,5
1,29,,,,,,,,10,8,1,4,7,9,3,6,,,12,11,2,5
1,30,,,,,,,,7,8,1,4,9,10,2,5,13,14,11,12,3,6
