Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,,,,,,,,,3,4,5,6,1,2,,,7,8,,,11,12,9,10,
1,2,,,,,,,,,7,8,9,10,1,2,,,3,4,,,11,12,5,6,
1,3,,,,,,,,,3,9,14,15,1,4,12,13,2,8,16,17,6,7,10,11,5
1,4,,,,,,,,,5,6,11,12,1,4,,7,2,3,,,,,10,9,8
1,5,,,,,,,,,6,7,,,1,3,2,4,10,11,,12,8,9,,,5
1,6,,,,,,,,,8,7,1,9,5,6,3,10,2,4,15,14,12,13,17,16,11
1,7,,,,,,,,,5,6,3,4,,,1,2,,,7,8,11,12,9,10,
1,8,,,,,,,,,11,12,3,4,,,1,2,,,7,8,5,6,9,10,
1,9,,,,,,,,,,7,12,8,,6,11,1,2,9,,10,,5,,4,3
1,10,,,,,,,,,12,13,14,15,6,11,1,2,16,17,3,4,8,7,9,10,5
1,11,,,,,,,,,10,6,4,7,9,5,1,8,3,2,15,14,13,12,16,17,11
1,12,3,2,4,5,1,6,,,,,,,,,,,,,,,,,,,
1,13,3,5,2,4,1,,,6,,,,,,,,,,,,,,,,,
1,14,3,5,2,8,1,7,6,4,,,,,,,,,,,,,,,,,
1,15,4,3,2,5,1,8,6,7,,,,,,,,,,,,,,,,,
1,16,4,3,2,,1,,6,5,,,,,,,,,,,,,,,,,
1,17,2,6,3,4,1,5,,,,,,,,,,,,,,,,,,,
1,18,4,3,2,8,1,7,5,6,,,,,,,,,,,,,,,,,
1,20,,,,,,,,,,,6,7,,,4,5,,,1,2,,,,,3
1,21,,,,,,,,,,,5,6,,12,7,8,,,1,2,3,4,10,11,9
1,22,,,,,,,,,8,9,6,7,4,5,11,10,1,2,,,,12,,,3
1,23,,,,,,,,,7,8,4,6,5,3,15,14,2,1,17,16,9,11,12,10,13
1,24,,,,,,,,,11,10,7,6,4,5,,12,1,2,,,9,8,,,3
1,25,,,1,2,7,3,6,4,,,10,,1,,2,4,7,8,3,,11,12,9,6,5
1,26,3,4,2,5,1,,6,,,,,,,,,,,,,,,,,,
1,27,3,4,2,,1,,5,6,,,,,,,,,,,,,,,,,
1,28,4,2,3,6,1,,5,,,,,,,,,,,,,,,,,,
1,29,4,5,2,3,1,8,6,7,,,,,,,,,,,,,,,,,
1,30,3,2,4,5,1,6,7,8,,,,,,,,,,,,,,,,,
1,31,2,8,3,4,1,6,5,7,,,,,,,,,,,,,,,,,
1,32,3,4,2,,1,,5,6,,,,,,,,,,,,,,,,,
1,33,3,4,2,5,1,,6,,,,,,,,,,,,,,,,,,
1,34,4,5,2,3,1,8,6,7,,,,,,,,,,,,,,,,,
1,35,4,7,2,3,1,8,5,6,,,,,,,,,,,,,,,,,
1,36,3,2,4,5,1,7,8,6,,,,,,,,,,,,,,,,,
1,37,3,4,2,5,1,6,,,,,,,,,,,,,,,,,,,
1,38,4,2,3,7,1,8,5,6,,,,,,,,,,,,,,,,,
1,39,6,3,2,,1,,4,5,,,,,,,,,,,,,,,,,
1,40,3,4,2,6,1,8,5,7,,,,,,,,,,,,,,,,,
1,41,2,5,3,4,1,,,6,,,,,,,,,,,,,,,,,
1,42,3,4,2,,1,,6,5,,,,,,,,,,,,,,,,,
1,43,7,6,5,4,1,2,3,8,,,,,,,,,,,,,,,,,
1,44,4,2,3,5,1,,6,,,,,,,,,,,,,,,,,,
1,45,6,2,3,7,1,4,5,8,,,,,,,,,,,,,,,,,
1,46,4,,6,5,1,,3,2,,,,,,,,,,,,,,,,,
1,47,2,3,6,7,1,8,4,5,,,,,,,,,,,,,,,,,
1,48,3,,2,5,1,6,4,,,,,,,,,,,,,,,,,,
2,1,3,,1,6,2,4,5,,,,,,,,,,,,,,,,,,
2,2,6,,1,2,4,,3,5,,,,,,,,,,,,,,,,,
2,3,,,1,3,5,4,6,2,,,,,,,,,,,,,,,,,
2,4,3,,1,2,4,,5,6,,,,,,,,,,,,,,,,,
2,5,2,7,1,5,8,3,6,4,,,,,,,,,,,,,,,,,
2,6,6,8,1,2,3,4,5,7,,,,,,,,,,,,,,,,,
2,7,6,4,1,3,2,8,7,5,,,,,,,,,,,,,,,,,
2,8,4,3,1,,2,6,5,,,,,,,,,,,,,,,,,,
2,9,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
2,10,5,6,1,4,2,8,7,3,,,,,,,,,,,,,,,,,
2,11,3,2,1,4,6,5,7,8,,,,,,,,,,,,,,,,,
2,12,6,2,1,3,4,,5,,,,,,,,,,,,,,,,,,
2,13,3,7,1,8,6,2,4,5,,,,,,,,,,,,,,,,,
2,14,4,7,1,3,5,8,6,2,,,,,,,,,,,,,,,,,
2,15,3,4,1,7,2,8,6,5,,,,,,,,,,,,,,,,,
2,16,,5,1,6,3,2,4,,,,,,,,,,,,,,,,,,
2,17,3,4,1,2,5,6,,,,,,,,,,,,,,,,,,,
2,18,5,4,1,3,2,6,,,,,,,,,,,,,,,,,,,
2,19,6,,1,3,2,,4,5,,,,,,,,,,,,,,,,,
2,20,6,8,1,2,4,3,5,7,,,,,,,,,,,,,,,,,
2,21,2,,1,6,3,,4,5,,,,,,,,,,,,,,,,,
2,22,5,2,1,,3,6,,4,,,,,,,,,,,,,,,,,
2,23,4,3,1,7,2,8,5,6,,,,,,,,,,,,,,,,,
2,24,4,,1,2,3,,6,5,,,,,,,,,,,,,,,,,
2,25,3,,1,5,2,,4,6,,,,,,,,,,,,,,,,,
