Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,1,3,7,8,2,4,5,6,,,,,,,,,,,,,,,,,
1,2,2,1,3,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,3,4,1,8,7,2,3,5,6,,,,,,,,,,,,,,,,,
1,4,2,1,3,8,4,7,5,6,,,,,,,,,,,,,,,,,
1,5,,6,1,2,4,3,,5,,,,,,,,,,,,,,,,,
1,6,6,,1,5,,4,3,2,,,,,,,,,,,,,,,,,
1,7,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,8,3,4,1,7,2,8,6,5,,,,,,,,,,,,,,,,,
1,9,6,,1,2,3,,4,5,,,,,,,,,,,,,,,,,
1,10,3,6,1,,2,,5,4,,,,,,,,,,,,,,,,,
1,11,4,2,1,6,3,,,5,,,,,,,,,,,,,,,,,
1,12,8,7,1,2,4,5,6,3,,,,,,,,,,,,,,,,,
1,13,3,2,1,,4,7,6,5,,,,,,,,,,,,,,,,,
1,14,,4,1,2,3,5,,6,,,,,,,,,,,,,,,,,
1,15,5,4,1,6,,,2,3,,,,,,,,,,,,,,,,,
1,16,6,5,1,2,3,,4,,,,,,,,,,,,,,,,,,
1,17,5,,1,6,2,,3,4,,,,,,,,,,,,,,,,,
1,18,5,7,6,1,8,3,2,4,,,,,,,,,,,,,,,,,
1,19,7,8,2,1,3,6,4,5,,,,,,,,,,,,,,,,,
1,20,3,5,4,1,,2,6,,,,,,,,,,,,,,,,,,
1,21,4,2,3,1,5,6,7,8,,,,,,,,,,,,,,,,,
1,22,7,4,,1,3,5,6,2,,,,,,,,,,,,,,,,,
1,23,2,3,4,1,5,6,7,8,,,,,,,,,,,,,,,,,
1,24,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
1,25,6,7,5,1,8,2,4,3,,,,,,,,,,,,,,,,,
1,26,,3,2,1,4,5,6,,,,,,,,,,,,,,,,,,
1,27,,,2,1,4,3,5,6,,,,,,,,,,,,,,,,,
1,28,7,8,3,1,2,5,4,6,,,,,,,,,,,,,,,,,
1,29,7,6,5,1,3,2,4,8,,,,,,,,,,,,,,,,,
1,30,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
1,31,4,6,2,1,3,,5,,,,,,,,,,,,,,,,,,
1,32,3,5,7,1,6,,2,4,,,,,,,,,,,,,,,,,
1,33,,6,5,1,,2,3,4,,,,,,,,,,,,,,,,,
1,34,3,4,2,6,1,7,5,8,,,,,,,,,,,,,,,,,
1,35,2,3,4,7,1,8,6,5,,,,,,,,,,,,,,,,,
1,36,5,3,7,2,1,8,4,6,,,,,,,,,,,,,,,,,
1,37,5,3,4,6,1,8,2,7,,,,,,,,,,,,,,,,,
1,38,5,2,3,4,1,8,6,7,,,,,,,,,,,,,,,,,
1,39,6,2,7,5,8,1,3,4,,,,,,,,,,,,,,,,,
1,40,,2,5,4,6,1,3,,,,,,,,,,,,,,,,,,
1,41,6,5,,2,,1,3,4,,,,,,,,,,,,,,,,,
1,42,5,3,2,8,4,1,6,7,,,,,,,,,,,,,,,,,
1,43,,,,,,,,,16,17,3,4,12,13,9,10,14,15,5,7,8,11,1,2,6
1,44,5,4,7,8,3,1,2,6,11,12,9,10,8,7,5,6,3,4,2,1,13,14,15,16,17
1,45,4,3,6,7,8,1,2,5,10,11,3,4,14,15,12,13,16,17,1,2,5,6,7,8,9
1,46,,,,,,,,,10,11,12,13,14,15,8,9,16,17,1,2,4,5,6,7,3
1,47,,,,,,,,,8,9,4,5,6,7,,12,1,2,,,10,11,,,3
1,48,3,4,2,7,1,8,5,6,8,9,6,7,4,5,,,1,2,,,10,11,12,,3
1,49,,,,,,,,,8,9,5,6,4,7,,12,1,3,,,10,11,,,2
1,50,,,,,,,,,9,10,,,1,3,2,4,5,6,,,8,11,,12,7
