Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,1,8,2,7,3,4,5,6,1,,1,1,2,4,,,1,,,,,,,,
1,2,,,,,,,,,1,2,7,8,5,6,9,10,3,4,,,,,12,,11
1,3,,,,,,,,,3,4,8,9,1,2,,,6,7,12,13,10,11,14,15,5
1,5,,,,,,,,,5,6,11,12,1,4,,,2,3,,,9,10,7,8,
1,6,4,8,1,3,2,7,6,5,,,,,,,,,,,,,,,,,
1,7,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,8,3,4,1,5,2,,6,,,,,,,,,,,,,,,,,,
1,9,4,3,1,5,2,7,8,6,,,,,,,,,,,,,,,,,
1,10,4,7,1,2,3,8,5,6,,,,,,,,,,,,,,,,,
1,11,3,4,1,,2,,5,6,,,,,,,,,,,,,,,,,
1,12,3,6,1,,2,,5,4,,,,,,,,,,,,,,,,,
1,13,4,3,1,5,2,8,6,7,,,,,,,,,,,,,,,,,
1,14,3,4,1,5,2,,6,,,,,,,,,,,,,,,,,,
1,15,,,1,4,2,3,5,6,,,,,,,,,,,,,,,,,
1,16,3,7,1,4,2,,5,6,,,,,,,,,,,,,,,,,
1,17,8,7,1,4,2,3,5,6,,,,,,,,,,,,,,,,,
1,18,3,4,1,7,2,8,6,5,,,,,,,,,,,,,,,,,
1,19,5,6,1,2,3,,4,,,,,,,,,,,,,,,,,,
1,20,,6,1,3,2,,4,5,,,,,,,,,,,,,,,,,
1,21,4,3,1,5,2,8,7,6,,,,,,,,,,,,,,,,,
1,22,5,,1,2,6,,3,4,,,,,,,,,,,,,,,,,
1,23,4,2,1,7,3,8,5,6,,,,,,,,,,,,,,,,,
1,24,7,4,1,2,3,8,5,6,,,,,,,,,,,,,,,,,
1,25,4,,1,3,2,,6,5,,,,,,,,,,,,,,,,,
1,26,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,27,4,6,2,1,3,5,,,,,,,,,,,,,,,,,,,
1,28,4,5,8,1,7,2,3,6,,,,,,,,,,,,,,,,,
1,29,6,4,7,1,8,2,5,3,,,,,,,,,,,,,,,,,
1,30,,,2,1,4,6,3,5,,,,,,,,,,,,,,,,,
1,31,,,6,1,2,4,3,5,,,,,,,,,,,,,,,,,
1,32,3,2,7,1,4,5,6,8,,,,,,,,,,,,,,,,,
1,33,,,2,1,5,6,3,4,,,,,,,,,,,,,,,,,
1,34,6,8,7,1,3,2,4,5,,,,,,,,,,,,,,,,,
1,35,6,3,,1,,2,4,5,,,,,,,,,,,,,,,,,
